"FYear","QuarterID","Seq_Quarter","SumMeanXSample","Quarter_Weight","QuarterMean","QuarterCatch","QuarterMeanXCatch"
1956,19561,1,5400.42866136273,1974.66879566698,2.73485288936195,752068.8,2056797.53067898
1956,19562,2,358.66762160938,179.66659663066,1.99629551811844,177130.8,353605.422160734
1956,19564,3,2608.49906093365,1053.10397945298,2.47696249546849,1045094.4,2588659.63302415
1957,19571,4,2135.43744719403,966.434219548458,2.20960454834862,658400.4,1454804.51847455
1957,19573,5,1233.50143022383,529.15482106923,2.33107850691291,483537.6,1127164.10664425
1957,19574,6,15964.1004092307,6067.29586436032,2.63117223325219,1977015.6,5201868.55142642
1958,19581,7,6275.40467305945,2736.83037844159,2.29294614766473,1980871.2,4542030.98706002
1958,19582,8,4614.24800682845,1730.6166980544,2.66624493570177,537062.4,1431939.90415584
1958,19583,9,17393.0088233211,5919.39046316531,2.93831078242816,706935.6,2077196.49596232
1958,19584,10,33634.9009063159,11838.1232502224,2.8412359117552,2476656,7036763.96826398
1959,19591,11,12555.3980144006,4867.74541565832,2.57930457373818,880210.8,2270331.74229374
1959,19592,12,27090.7816167016,9748.27385389625,2.77903370614417,1168700.4,3247857.80398417
1959,19593,13,1688.84132282084,825.770956652894,2.04516919518002,599205.6,1225476.83469936
1959,19594,14,11323.452414007,4571.34600927572,2.47704995225271,867283.2,2148303.80914957
1960,19601,15,9357.91522920072,4147.43925297967,2.25631158370256,542505.6,1224061.66950351
1960,19602,16,26080.770399419,9604.81739125992,2.7153843052916,760233.6,2064326.38579534
1960,19603,17,10801.2043430706,4650.83456795712,2.32242282223663,189604.8,440342.514725611
1960,19604,18,20104.4934894802,7428.44585064111,2.70641987485782,898581.6,2431939.10142154
1961,19611,19,27439.7929443331,10578.6814122718,2.59387648374604,383065.2,993623.814021474
1961,19612,20,19642.7407843524,7274.46349527563,2.70023222978702,223171.2,602614.067000244
1961,19613,21,7671.6556294148,3149.18055596749,2.43607995574516,110678.4,269621.431773945
1961,19614,22,38340.0636841325,13693.9219990082,2.79978691910976,803779.2,2250410.49001251
1962,19621,23,11729.3655207445,4193.96074102432,2.79672754349144,193687.2,541690.327061735
