"FYear","QuarterID","Seq_Quarter","SAMPLE_ID","Mean_Sample_Weight","Sample_Weight","MeanXSample"
1956,19561,1,52468,1.84385025628665,361.394650232183,666.357618451235
1956,19561,1,57829,2.48519375949639,544.257433329709,1352.58517687052
1956,19561,1,57842,3.45397672010527,348.851648730632,1204.92547348595
1956,19561,1,57845,2.7683526377385,362.654195543744,1003.95469882046
1956,19561,1,57847,3.27991621863038,357.510867830711,1172.60569373457
1956,19562,2,57850,1.99629551811844,179.66659663066,358.66762160938
1956,19564,3,57858,2.4002829878599,338.439901288246,812.35153747516
1956,19564,3,57860,2.26291945530222,341.700837750636,773.241473638983
1956,19564,3,57861,2.164420441269,290.032339130046,627.751923442133
1957,19571,4,57863,2.32360574992748,353.188073988977,820.669839526598
1957,19571,4,57864,2.5561177500608,388.529898009242,993.128168730737
1957,19571,4,57870,1.43131367866394,224.716247550239,321.639438936691
1957,19573,5,57907,2.33107850691291,529.15482106923,1233.50143022383
1957,19574,6,57908,2.25959176568145,415.764884885387,939.458910346517
1957,19574,6,57909,2.26308843620114,466.196217857435,1055.04326963387
1957,19574,6,57910,2.12812843233898,414.985044306101,883.141471783264
1957,19574,6,57911,2.44349381486003,478.924787712566,1170.24975655881
1957,19574,6,57912,2.53946668583591,403.77520304791,1025.3736767068
1957,19574,6,57913,2.48998087796595,430.766691888109,1072.60082566604
1957,19574,6,57914,2.35773842758881,438.53934753152,1033.96107168479
1957,19574,6,57915,2.49161506644673,548.155314618281,1365.79204065576
1957,19574,6,57916,2.56372932378126,528.12824069894,1353.97785739688
1957,19574,6,57917,2.44899554146658,514.289063707981,1259.49162404587
1957,19574,6,57918,2.37350256156786,541.158584037473,1284.44128542738
1957,19574,6,57919,2.64370507197535,399.199465868278,1055.36565264582
1958,19581,7,57921,2.8135493267787,568.336964009298,1599.04408247181
1958,19581,7,57923,2.19239967953678,486.712728857166,1067.06883077292
1958,19581,7,57926,2.0330294333659,347.64803310557,706.778683755387
1958,19581,7,57928,2.14448480392893,452.486293629003,970.34998067352
1958,19581,7,57948,2.27679927210132,471.297449324973,1073.04968956631
1958,19581,7,57951,2.09361688528355,410.348909515577,859.113405819505
1958,19582,8,57956,2.21809013054334,572.267253680181,1269.34034742115
1958,19582,8,57962,2.62894433797338,707.186026914838,1859.15270135165
1958,19582,8,57967,3.29316363109034,451.163417459377,1485.75495805565
1958,19583,9,57971,3.35396284130955,694.270308151078,2328.55681536325
1958,19583,9,57973,2.63901133252536,530.441277837598,1399.84054345265
1958,19583,9,57974,2.48740116627426,524.841646083869,1305.49172257832
1958,19583,9,57975,2.82122084626631,567.065390099528,1599.81669974492
1958,19583,9,57977,2.67651481499866,570.097655594714,1525.87482119525
1958,19583,9,57979,3.06960442375864,613.920884751728,1884.49426367172
1958,19583,9,57980,2.71895708893328,543.791417786656,1478.54553029211
1958,19583,9,57981,3.03763135258644,577.149956991424,1753.16880450106
1958,19583,9,57982,3.31463952532096,679.501102690796,2252.30121247809
1958,19583,9,57983,3.01615035696545,618.310823177916,1864.91841004367
1958,19584,10,58440,2.68099065345187,552.284074611085,1480.66844208263
1958,19584,10,58441,2.8030551431711,574.626304350076,1610.70921780988
1958,19584,10,58442,3.06820837148906,573.754965468454,1760.39978823372
1958,19584,10,58443,2.68311990817732,804.935972453195,2159.73973249724
1958,19584,10,58444,2.8881221469483,563.183818654918,1626.54365946018
1958,19584,10,58445,2.80120047932634,504.216086278741,1412.41034256806
1958,19584,10,58446,2.86034941448571,592.092328798542,1693.59094600039
1958,19584,10,58447,2.26103937904133,463.513072703472,1048.021310083
1958,19584,10,58448,2.33222680863421,534.079939177233,1245.59555210287
1958,19584,10,58449,2.26232636127019,470.5638831442,1064.56907749879
1958,19584,10,58450,2.95391207132188,564.197205622479,1666.58893629431
1958,19584,10,58451,2.53449034938467,542.38093476832,1374.65924486055
1958,19584,10,58452,2.58576651495748,555.939800715857,1437.5305210232
1958,19584,10,58453,2.1758212434528,483.032316046521,1050.99197452823
1958,19584,10,58454,2.36677295705894,523.056823510026,1237.95674488868
1958,19584,10,58455,2.80817672449828,564.443521624155,1585.05715971879
1958,19584,10,58456,2.36489039439236,532.10033873828,1258.35897993508
1958,19584,10,58457,2.71002892440362,474.255061770633,1285.24493494324
1958,19584,10,58458,2.27265614895323,463.62185438646,1053.65305816049
1958,19584,10,58459,2.33415184935711,520.515862406636,1214.96306285616
1959,19591,11,58463,2.48761327426735,905.491231833315,2252.51200804125
1959,19591,11,58465,1.92954152676599,260.488106113408,502.622617974446
1959,19591,11,58466,2.53134440537077,473.361403804334,1198.24074123856
1959,19591,11,58467,2.18232711319434,432.10076841248,942.985222538665
1959,19591,11,58478,2.45915552792263,391.005728939698,961.543899771476
1959,19591,11,58479,2.31551095857078,307.962957489914,713.091602901762
1959,19591,11,58480,1.95481744205435,562.987423311652,1100.53763474685
1959,19591,11,58483,3.06193599045729,370.494254845332,1134.42969316858
1959,19591,11,58486,3.51660171665058,552.106469514141,1941.53855846732
1959,19591,11,58489,2.955299861807,611.747071394048,1807.89603555167
1959,19592,12,58493,2.70028393021428,599.46303250757,1618.72039343771
1959,19592,12,58494,2.21173754461595,424.653608566262,939.222329522645
1959,19592,12,58495,2.74976882051449,1072.40984000065,2948.87914084673
1959,19592,12,58497,2.39119755165365,1090.38608355406,2607.32853335169
1959,19592,12,58501,2.33344480202581,896.042803977912,2090.86642333489
1959,19592,12,58503,2.64193344041016,729.173629553204,1926.42819578186
1959,19592,12,58505,3.56966560047325,303.421576040226,1083.11356243217
1959,19592,12,58507,3.3619088891253,1227.09674453073,4125.38745325459
1959,19592,12,58508,2.20796511996953,772.787791989337,1706.28848985073
1959,19592,12,58510,3.36523006628583,881.690277366888,2967.09063054695
1959,19592,12,58511,2.20211247126978,433.816156840147,955.311969216015
1959,19592,12,58513,3.6182210256529,853.900162054083,3089.5995201525
1959,19592,12,58515,2.22803916786139,463.432146915169,1032.54497497309
1959,19593,13,58516,2.09052637289284,445.282117426174,930.874009856982
1959,19593,13,58517,1.99208816349068,380.488839226719,757.967312963855
1959,19594,14,58518,2.29412247703033,422.118535773581,968.391620889304
1959,19594,14,58519,2.38937477988214,465.928082077017,1113.27680855368
1959,19594,14,58520,2.23246340183367,450.957607170402,1006.74635378641
1959,19594,14,58521,2.05696918963475,411.39383792695,846.224449421327
1959,19594,14,58522,2.25034304737925,578.338163176467,1301.45926453825
1959,19594,14,58523,2.46062193619356,406.002619471938,999.0189516247
1959,19594,14,58524,2.43331571254555,515.862931059656,1255.25737566726
1959,19594,14,58526,2.25713321715274,444.655243779089,1003.64612091493
1959,19594,14,58527,2.1603945637952,516.334300747053,1115.48581643493
1960,19601,15,58528,2.33222781022027,424.46546146009,989.950153695203
1960,19601,15,58532,2.37027810387051,839.078448770161,1988.84927454955
1960,19601,15,58541,2.28385402301624,285.48175287703,651.998649805934
1960,19601,15,58544,2.19633300628924,876.336869509405,1924.72759113169
1960,19601,15,58547,2.23195271695273,819.126647121653,1828.25194557156
1960,19601,15,58548,2.18631978993058,902.950073241331,1974.13761444679
1960,19602,16,58551,2.19471593762697,498.200517841323,1093.40861664036
1960,19602,16,58552,2.86584095639866,475.729598762178,1363.36536830375
1960,19602,16,58555,3.01436981951601,1006.79951971835,3034.86608654219
1960,19602,16,58559,2.13043743287195,801.044474759854,1706.57513442365
1960,19602,16,58562,2.69525416462606,1067.32064919192,2876.70042472591
1960,19602,16,58563,3.24061924251572,605.99579835044,1963.80164501811
1960,19602,16,58564,2.13749903409657,515.137267217274,1101.10541110407
1960,19602,16,58565,3.2250749320485,535.362438720051,1726.58398067639
1960,19602,16,58566,2.35653007444143,238.009537518584,560.87663316644
1960,19602,16,58567,2.89200654980289,413.556936621814,1196.0093694267
1960,19602,16,58568,2.45043795632089,1021.83262778581,2503.93745613347
1960,19602,16,58570,2.96249937064338,364.387422589136,1079.49751009068
1960,19602,16,58571,2.69894470766923,1039.09371245265,2804.45647599646
1960,19602,16,58574,3.46923536667037,485.692951333852,1684.98316410991
1960,19602,16,58578,2.58006701152253,536.653938396686,1384.60312306093
1960,19603,17,58580,2.88939291063913,369.842292561808,1068.61969818261
1960,19603,17,58581,2.48164026629088,230.792544765052,572.744072248692
1960,19603,17,58583,2.38636626337582,295.909416658602,706.148248929308
1960,19603,17,58584,2.27662127507109,346.046433810806,787.81667337616
1960,19603,17,58585,2.23864867690275,481.309465534091,1077.48279819866
1960,19603,17,58586,2.14053127548851,451.652099128075,966.775443823682
1960,19603,17,58588,2.27500156029748,468.650321421281,1066.18021246733
1960,19603,17,58589,2.5799149388284,433.425709723171,1118.20146338711
1960,19603,17,58590,2.56792105356749,295.310921160261,758.335131795844
1960,19603,17,58591,1.83337571435907,396.009154301559,726.033566160351
1960,19603,17,58592,2.03723560912981,586.723855429385,1195.29473100667
1960,19603,17,58593,2.56662916054808,295.162353463029,757.57230349421
1960,19604,18,58862,2.31709101557697,470.369476162125,1089.88888721691
1960,19604,18,58863,2.40973928580362,392.78750358599,946.515478363892
1960,19604,18,58864,2.58691422393928,853.681693899962,2208.40131666639
1960,19604,18,58865,2.33119502967007,545.499636942797,1271.66604232788
1960,19604,18,58866,2.63317866740812,529.268912149033,1393.65960879314
1960,19604,18,58867,2.28832337510947,402.744914019268,921.610600956745
1960,19604,18,58869,1.95849534374032,393.657564091805,770.976506301959
1960,19604,18,58870,2.2073169660362,770.353621146635,1700.41461780439
1960,19604,18,58871,2.85300991665953,425.09847758227,1212.81017209909
1960,19604,18,58872,2.40840742457688,736.972671920525,1774.93045476366
1960,19604,18,58873,2.55673523692233,416.747843618339,1065.5138966904
1960,19604,18,58874,2.9266670185085,886.780106608076,2595.31009067931
1961,19611,19,58875,2.72535728345699,438.782522636575,1195.83914392122
1961,19611,19,58876,2.82796873834179,503.378435424839,1423.53847893685
1961,19611,19,58878,2.13814009322662,463.976400230176,992.0465436431
1961,19611,19,58879,3.1543994398958,883.231843170825,2786.06603139619
